[[1.0000000000000000000e-05,	2.5568986971138150342e-06],
[1.0595601792776200000e-05,	3.2694458907983589852e-06],
[1.1226677735108100000e-05,	2.4767265104541625235e-08],
[1.1895340673703200000e-05,	1.9115009840522796222e-06],
[1.2603829296797300000e-05,	1.5900531748646274850e-06],
[1.3354515629299000000e-05,	3.7146648216392452205e-06],
[1.4149912974345800000e-05,	-3.6221713897957894029e-07],
[1.4992684327860500000e-05,	-1.1303954935234606534e-06],
[1.5885651294280500000e-05,	1.3304735387824685454e-06],
[1.6831803533309600000e-05,	5.1855095070697097160e-07],
[1.7834308769319100000e-05,	-5.3084495339734323795e-07],
[1.8896523396912100000e-05,	1.4248390060854691234e-06],
[2.0022003718155800000e-05,	-1.6961283656899422546e-07],
[2.1214517849106300000e-05,	-4.1125947623672020283e-09],
[2.2478058335487300000e-05,	1.4722756425109579276e-07],
[2.3816855519761600000e-05,	-4.0631460426780501841e-07],
[2.5235391704347700000e-05,	4.0850374504089926558e-07],
[2.6738416158399500000e-05,	-2.9687163691226127099e-08],
[2.8330961018393200000e-05,	7.1436046349275221854e-07],
[3.0018358135755900000e-05,	5.4013421881257602292e-07],
[3.1806256927941200000e-05,	1.2563145423105606497e-06],
[3.3700643292719300000e-05,	9.1412377460791518929e-07],
[3.5707859649004600000e-05,	1.2385668179784454944e-06],
[3.7834626171319300000e-05,	1.6494312229144201451e-06],
[4.0088063288984600000e-05,	1.5701777959547635036e-06],
[4.2475715525369000000e-05,	2.2263625096448489285e-06],
[4.5005576757005000000e-05,	2.5167822675447217070e-06],
[4.7686116977144700000e-05,	2.8067986572401173772e-06],
[5.0526310653356800000e-05,	3.2004267830768025954e-06],
[5.3535666774107300000e-05,	4.1019293593161405244e-06],
[5.6724260684919800000e-05,	4.7527962966858308130e-06],
[6.0102767820703900000e-05,	5.6544951834673754436e-06],
[6.3682499447185900000e-05,	6.5925303222245428730e-06],
[6.7475440531107000000e-05,	7.9548275003495568383e-06],
[7.1494289865975800000e-05,	9.4469370690022260139e-06],
[7.5752502587719200000e-05,	1.1241235341738103037e-05],
[8.0264335222571700000e-05,	1.3191610997232614608e-05],
[8.5044893418026900000e-05,	1.5672089436874861701e-05],
[9.0110182516650200000e-05,	1.8648154061603828357e-05],
[9.5477161142080700000e-05,	2.2227943482778750478e-05],
[0.000101163797976621,	2.6366707220186841647e-05],
[0.000107189131920513,	3.1314694225230273926e-05],
[0.000113573335834311,	3.7141973236422485303e-05],
[0.000120337784077759,	4.4115526527546574143e-05],
[0.000127505124071301,	5.2349735803294886728e-05],
[0.000135099352119803,	6.2115562374894423859e-05],
[0.000143145893752348,	7.3756439149718099907e-05],
[0.000151671688847092,	8.7522714501497252391e-05],
[0.000160705281826164,	0.00010390626569801709225],
[0.00017027691722259,	0.00012334495982067305121],
[0.000180418640939207,	0.0001464203851814626217],
[0.00019116440753857,	0.0001737977858411944917],
[0.000202550193923067,	0.00020629073846604565466],
[0.000214614119785841,	0.00024487245719103520922],
[0.000227396575235793,	0.00029065172585958155629],
[0.000240940356023953,	0.00034499359844392704727],
[0.000255290806823952,	0.00040948796470746275505],
[0.000270495973046314,	0.00048602119906338015605],
[0.000286606761694825,	0.00057685171126228641389],
[0.000303677111803546,	0.00068465807889751571106],
[0.000321764175025074,	0.0008125735707867863767],
[0.000340928506974681,	0.00096435828981228363427],
[0.000361234269970943,	0.0011444640536216774599],
[0.000382749447851632,	0.0013581611742810536737],
[0.000405546073584083,	0.0016116975486481572645],
[0.000429700470432084,	0.001912472267289080446],
[0.000455293507486695,	0.0022692700784823249951],
[0.000482410870416537,	0.002692491718231881401],
[0.000511143348344017,	0.0031944502587567085745],
[0.000541587137807948,	0.0037897442361054200989],
[0.000573844164830239,	0.0044956489884027754896],
[0.000608022426164943,	0.0053326186055119200972],
[0.000644236350872137,	0.0063248635465170871303],
[0.000682607183427239,	0.007501030727254910518],
[0.000723263389648353,	0.0088950022017650888615],
[0.000766341086800746,	0.010546840663632276662],
[0.000811984499318401,	0.012503905636322391976],
[0.000860346441668451,	0.014822166528696969536],
[0.000911588829975082,	0.017567730083444779192],
[0.000965883224115871,	0.0208186383667688743],
[0.00102341140210545,	0.024667009416632886682],
[0.00108436596868961,	0.029221526367557797599],
[0.00114895100018731,	0.034610280527728089219],
[0.00121738272773966,	0.040984139911200728648],
[0.00128989026125331,	0.048520767678399753052],
[0.00136671635646201,	0.057429260907002209518],
[0.00144811822767453,	0.067955469009988424046],
[0.00153436840893001,	0.080388244462416872582],
[0.0016257556664438,	0.095066810894969256697],
[0.00172258596539879,	0.11238925545751902046],
[0.00182518349431904,	0.13282200292021699297],
[0.00193389175045523,	0.15691100731274885542],
[0.00204907468981585,	0.18529501675979484207],
[0.00217111794569451,	0.21872063212956761097],
[0.00230043011977292,	0.25805904570140282432],
[0.00243744415012222,	0.30432565477137545606],
[0.00258261876068268,	0.35870302035746423222],
[0.00273643999707467,	0.42256674343979321962],
[0.00289942285388288,	0.49751393011994606584],
[0.00307211299886176,	0.58539631917468253881],
[0.00325508859983506,	0.68835864940283994943],
[0.00344896226040576,	0.80888134093365584946],
[0.00365438307095726,	0.94982570044501198603],
[0.00387203878181256,	1.1144868976618895997],
[0.00410265810582719,	1.306655203287069639],
[0.00434701315812503,	1.5306822721166995226],
[0.00460592204114511,	1.7915472159844722789],
[0.00488025158365443,	2.0949353993073061482],
[0.00517092024289676,	2.4473293128888351746],
[0.00547890117959395,	2.8561022904224578045],
[0.0058052255160949,	3.3295973745432626638],
[0.0061509857885805,	3.8772300679804762985],
[0.00651733960488243,	4.5096087783492823026],
[0.00690551352016233,	5.238645791119171285],
[0.0073168071434272,	6.0776157083816401077],
[0.00775259748862946,	7.0412593055789986309],
[0.00821434358491943,	8.1459094541959161478],
[0.00870359136148517,	9.4095701714453384886],
[0.00922197882333433,	10.851816356578367615],
[0.0097712415353465,	12.493818566264342306],
[0.0103532184329566,	14.358403255744603279],
[0.0109698579789238,	16.469967360680195768],
[0.0116232246867985,	18.853990037343439992],
[0.0123155060329283,	21.536815909175906351],
[0.013049019780144,	24.545476947680350695],
[0.0138262217376466,	27.907167606123890987],
[0.0146497139830729,	31.647701698187617552],
[0.0155222535742705,	35.790792974211982317],
[0.0164467617799466,	40.35744878920164688],
[0.0174263338600965,	45.36476413995449522],
[0.0184642494289554,	50.823847832779599348],
[0.0195639834351706,	56.738472671766827394],
[0.0207292177959537,	63.103793916094155568],
[0.0219638537241655,	69.905278915895980096],
[0.0232720247896041,	77.12109718057605604],
[0.024658110758226,	84.720123258414691869],
[0.0261267522556333,	92.659558809960982714],
[0.0276828663039207,	100.88855584164386227],
[0.0293316627839005,	109.37724405073696982],
[0.0310786618778201,	118.10894437489578331],
[0.0329297125509715,	127.07066681279055817],
[0.0348910121340677,	136.26672366079373309],
[0.0369691270719503,	145.79494761438843389],
[0.0391710149080926,	155.82043917422224122],
[0.0415040475785048,	166.55435453577410634],
[0.0439760360930272,	178.26357956914324398],
[0.0465952566866468,	191.28727137316062702],
[0.04937047852839,	206.04408153365183749],
[0.0523109930805626,	222.90967012695380123],
[0.0554266452066311,	242.14585481879793827],
[0.0587278661318948,	263.78699678409827089],
[0.0622257083673023,	287.50210124527651357],
[0.0659318827133355,	312.45449623627916187],
[0.0698587974678525,	337.26263668440421545],
[0.0740195999691564,	360.13746424430992659],
[0.0784282206133768,	379.27324038791575893],
[0.083099419493534,	393.49071802993548557],
[0.0880488358164346,	402.95494743748304965],
[0.0932930402628469,	409.66639327671300686],
[0.0988495904662559,	417.33579641764656767],
[0.104737089795945,	430.4573826587330716],
[0.110975249641207,	452.64932766901685772],
[0.117584955405216,	484.53920301754612565],
[0.124588336429501,	521.89732963459980766],
[0.132008840083142,	555.66202104553324061],
[0.139871310264724,	576.05241891731827487],
[0.148202070579886,	579.97290785042095603],
[0.157029012472938,	575.78525139982812844],
[0.166381688607613,	579.31818568372383498],
[0.176291411809595,	601.88199755436385816],
[0.186791359902078,	638.90181280178262893],
[0.197916686785356,	669.53803776362355959],
[0.209704640132323,	675.8837905287831401],
[0.222194686093952,	668.18581688300399475],
[0.235428641432242,	672.87283973929345025],
[0.249450813523032,	698.73661070019371307],
[0.264308148697411,	721.59442998014103781],
[0.280050389418363,	721.40384017483933854],
[0.296730240818887,	718.25938558271954689],
[0.31440354715915,	733.02053238122994338],
[0.333129478793468,	745.80830960034395594],
[0.352970730273065,	743.15111213619299552],
[0.37399373024788,	746.42184766902433626],
[0.396268863870148,	754.34720348984164118],
[0.419870708444391,	752.92945101902960095],
[0.444878283112759,	753.89300198694302814],
[0.471375313411673,	755.34464862729144891],
[0.499450511585514,	752.66156016864230393],
[0.529197873595845,	751.79809172635784877],
